Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BISC400010,LEC,Special Topics in Biology: SIGNAL TRANSDUCTION,NEWRK,1 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Van Golen,Kenneth Louis"
BISC467910,LEC,SEMINAR: BEHAVE! TOPICS IN ETHOLOGY,NEWRK,3 Hrs,MTWR,3:00PM - 5:00PM ,Jul 12 - Aug 12,"Mahaffy,Lynn A"
BISC468000,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BISC468900,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Fowler,Velia"
BISC868800,RSC,Research,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BISC872000,IND,Internship,NEWRK,0-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMEG466000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
BMEG868800,RSC,Research,NEWRK,1-9 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC866000,IND,Special Problem,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC868800,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC868900,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
BMSC869000,IND,Master's Thesis,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC869900,IND,Master's Thesis,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
BMSC964000,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC964900,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
BMSC969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BMSC969900,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
