Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
HDFS412011,LEC,Early Childhood Inclusive Math Curriculum and Assessment,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"Johnson,Bridgette G"
HDFS422010,LEC,Capstone in Family Relationships,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Settles,Barbara H."
HDFS422011,LEC,Capstone in Family Relationships,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Abrams,Holly R"
HDFS422080,LEC,Capstone in Family Relationships,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Settles,Barbara H."
HDFS422081,LEC,Capstone in Family Relationships,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Abrams,Holly R"
HDFS424010,LEC,Professional Development Seminar I,NEWRK,3 Hrs,W,3:35PM - 5:35PM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS427010,LEC,Parenting Through the Lifespan,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS427080,LEC,Parenting Through the Lifespan,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS428010,LEC,Diversity and Inclusion in Human Relations,NEWRK,3 Hrs,M,5:00PM - 8:00PM,Aug 31 - Dec 10,"Klingensmith,Lynn"
HDFS428070,LEC,Diversity and Inclusion in Human Relations,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HDFS432010D,DIS,Field Experience: Preschool - Kindergarten,NEWRK,2 Hrs,M,5:00PM - 6:00PM,Aug 31 - Dec 10,"Colomb,Elise N"
HDFS432020L,LAB,Field Experience: Preschool - Kindergarten,NEWRK,2 Hrs,MW,8:00AM - 12:15PM,Aug 31 - Dec 10,"Colomb,Elise N"
HDFS432021L,LAB,Field Experience: Preschool - Kindergarten,NEWRK,2 Hrs,TR,8:00AM - 12:15PM,Aug 31 - Dec 10,"Colomb,Elise N"
HDFS432022L,LAB,Field Experience: Preschool - Kindergarten,NEWRK,2 Hrs,WF,8:00AM - 12:15PM,Aug 31 - Dec 10,"Colomb,Elise N"
HDFS435010,LEC,Programs for Children with Exceptionalities,NEWRK,3 Hrs,M,12:20PM - 3:20PM,Aug 31 - Dec 10,"Barnes,Tia Navelene"
HDFS435011,LEC,Programs for Children with Exceptionalities,NEWRK,3 Hrs,R,5:00PM - 8:00PM,Aug 31 - Dec 10,"Sticinski,Ethel"
HDFS435080,LEC,Programs for Children with Exceptionalities,NEWRK,3 Hrs,M,12:20PM - 3:20PM,Aug 31 - Dec 10,"Barnes,Tia Navelene"
HDFS436010,PRC,Practicum I in Early Childhood Development,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS437010,PRC,Practicum II in Early Childhood Development,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,"Worden,Lynn J"
HDFS441010,LEC,Adv Inclus Curric in Early Childhood 1,NEWRK,3 Hrs,W,6:00PM - 8:00PM,Aug 31 - Dec 10,"Rowe,Joy McDaniel"
HDFS449010,INT,Internship,NEWRK,3-10 Hrs,TBD,,Aug 31 - Dec 10,"Morris,Adam Ryan"
HDFS465010,DIS,Internship Seminar: SEMINAR,NEWRK,1-3 Hrs,W,5:00PM - 6:30PM,Aug 31 - Dec 10,"Morris,Adam Ryan"
