Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BUAD100194,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Bayuk,Julia Belyavsky"
BUAD100195,LEC,Introduction to Business,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Bayuk,Julia Belyavsky"
BUAD150194,LEC,Business Basics for Entrepreneurs,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Freeman,Daniel J"
BUAD150195,LEC,Business Basics for Entrepreneurs,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Freeman,Daniel J"
BUAD301194,LEC,Introduction to Marketing,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Sivaraman,Anuradha"
BUAD301195,LEC,Introduction to Marketing,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Sivaraman,Anuradha"
BUAD302012,LEC,Marketing Research,NEWRK,3 Hrs,MWF,9:00AM - 11:45AM,Jan 3 - Feb 4,"Steinman,Ross Brandyn"
BUAD306010,LEC,Introduction to Service and Operations Management,NEWRK,3 Hrs,TR,10:00AM - 2:30PM,Jan 3 - Feb 4,"Murphy,Susan B"
BUAD306194,LEC,Introduction to Service and Operations Management,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Grasso,Sabrina Leigh"
BUAD306195,LEC,Introduction to Service and Operations Management,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Grasso,Sabrina Leigh"
BUAD309011,LEC,Organizational Behavior,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Bishop,Derron"
BUAD309012,LEC,Organizational Behavior,NEWRK,3 Hrs,,Canceled,,
BUAD309194,LEC,Organizational Behavior,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Kernan,Mary C"
BUAD309195,LEC,Organizational Behavior,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Kernan,Mary C"
BUAD364070,INT,Business Administration in Practice,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sundaram,Suresh"
BUAD366000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BUAD384194,LEC,Global Business Environment,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD384195,LEC,Global Business Environment,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD386194,LEC,International Business Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD386195,LEC,International Business Management,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sullivan,Daniel Patrick"
BUAD391070,LEC,"Seminar on International Management: BUSINESS, SOCIETAL, & ECON DEV",NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Sanders,Ryan"
BUAD393072,LEC,Seminar on International Marketing Management: INTERNATIONAL MARKETING MGMT,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Fields,Sandra M"
BUAD423010,LEC,Negotiation and Conflict Resolution,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Sleesman,Dustin"
BUAD429010,LEC,Selected Topics in Management: MANAGING DIVERSITY IN ORGANIZA,NEWRK,3 Hrs,,Canceled,,
