Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor,PreReqs
CHEG345010,LEC,Chemical Engineering Laboratory I,NEWRK,3 Hrs,M,8:00AM - 8:50AM,Feb 7 - May 17,"Enszer,Joshua Alan","{'required': {'CHEG304': 'false', 'CHEG325': 'false', 'CHEG332': 'false', 'CHEG341': 'false'}}"
CHEG345020L,LAB,Chemical Engineering Laboratory I,NEWRK,3 Hrs,MW,12:30PM - 4:30PM,Feb 7 - May 17,"Enszer,Joshua Alan","{'required': {'CHEG304': 'false', 'CHEG325': 'false', 'CHEG332': 'false', 'CHEG341': 'false'}}"
CHEG345021L,LAB,Chemical Engineering Laboratory I,NEWRK,3 Hrs,WF,12:30PM - 4:30PM,Feb 7 - May 17,"Enszer,Joshua Alan","{'required': {'CHEG304': 'false', 'CHEG325': 'false', 'CHEG332': 'false', 'CHEG341': 'false'}}"
CHEG345022L,LAB,Chemical Engineering Laboratory I,NEWRK,3 Hrs,MF,12:30PM - 4:30PM,Feb 7 - May 17,"Buttrey,Douglas J","{'required': {'CHEG304': 'false', 'CHEG325': 'false', 'CHEG332': 'false', 'CHEG341': 'false'}}"
CHEG345023L,LAB,Chemical Engineering Laboratory I,NEWRK,3 Hrs,TR,12:30PM - 4:30PM,Feb 7 - May 17,"Enszer,Joshua Alan","{'required': {'CHEG304': 'false', 'CHEG325': 'false', 'CHEG332': 'false', 'CHEG341': 'false'}}"
CHEG366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG420010,LEC,Biochemical Engineering,NEWRK,3 Hrs,TR,3:30PM - 4:45PM,Feb 7 - May 17,"Papoutsakis,Eleftherios",{'required': {'MATH243': 'false'}}
CHEG432010,LEC,Chemical Process Analysis,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Feb 7 - May 17,"Roberts,Christopher John","{'required': {'CHEG332': 'false', 'CHEG401': 'false', 'CHEG431': 'false'}}"
CHEG432080,LEC,Chemical Process Analysis,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Feb 7 - May 17,"Roberts,Christopher John","{'required': {'CHEG332': 'false', 'CHEG401': 'false', 'CHEG431': 'false'}}"
CHEG466000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG474010,LEC,Chemical Engineering Projects II,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,"Lenhoff,Abraham M",{}
CHEG603010,LEC,Scientific Communication,NEWRK,2 Hrs,MW,2:30PM - 3:20PM,Feb 7 - May 17,"Kloxin PhD,April Morris",{}
CHEG603011,LEC,Scientific Communication,NEWRK,2 Hrs,MW,2:30PM - 3:20PM,Feb 7 - May 17,"Kloxin PhD,April Morris",{}
CHEG615010,LEC,Special Topics in Mixing,NEWRK,3 Hrs,TR,5:00PM - 6:15PM,Feb 7 - May 17,"Grenville,Richard K",{'required': {'CHEG341': 'false'}}
CHEG621010,LEC,Metabolic Engineering,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Kunjapur,Aditya",{'required': {}}
CHEG663010,LEC,Downstream Bioprocessing,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Lenhoff,Abraham M","{'required': {'CHEG500': 'false', 'CHEG661': 'false'}}"
CHEG663011,LEC,Downstream Bioprocessing,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Lenhoff,Abraham M","{'required': {'CHEG500': 'false', 'CHEG661': 'false'}}"
CHEG664010,LEC,Bioprocess Engineering in Practice,NEWRK,2 Hrs,MW,6:30PM - 8:10PM,Feb 7 - May 17,"Erickson,John",{'required': {'CHEG661': 'false'}}
CHEG665001,INT,Bioprocess Design Internship,NEWRK,1-2 Hrs,TBD,,Feb 7 - May 17,Staff,{}
CHEG666000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG667010,LEC,SEMINAR: ASPEN FOR PROCESS SIMULATIONS,NEWRK,3 Hrs,M,5:00PM - 8:00PM,Feb 7 - May 17,"Lobo,Raul F",{}
CHEG803010,LEC,Advanced Scientific Communication,NEWRK,2 Hrs,MW,2:30PM - 3:20PM,Feb 7 - May 17,"Kloxin PhD,April Morris",{}
CHEG803011,LEC,Advanced Scientific Communication,NEWRK,2 Hrs,MW,2:30PM - 3:20PM,Feb 7 - May 17,"Kloxin PhD,April Morris",{}
CHEG830010,LEC,Continuum Transport in Materials,NEWRK,2 Hrs,TR,2:30PM - 4:10PM,Feb 7 - Mar 25,"Tilton,James Nelson",{}
CHEG830010,LEC,Continuum Transport in Materials,NEWRK,2 Hrs,TR,2:30PM - 4:10PM,Feb 7 - Mar 25,"Tilton,James Nelson",{}
CHEG832010,LEC,"Soft Materials, Colloids, and Polymers",NEWRK,2 Hrs,TR,2:30PM - 4:10PM,Apr 4 - May 20,Staff,{}
CHEG840010,LEC,Rate Processes & Dynamics for Microbial Systems,NEWRK,2 Hrs,MW ,3:35PM - 4:50PM ,Feb 7 - Mar 25 ,"Solomon,Kevin",{}
CHEG843010,LEC,Rate Processes & Dynamics for Mammalian Cellular Systems,NEWRK,2 Hrs,MW ,3:35PM - 4:50PM ,Apr 4 - May 20 ,"Kloxin PhD,April Morris",{}
CHEG850010,LEC,Electrochemical Processes,NEWRK,2 Hrs,TR ,9:30AM - 10:45AM ,Feb 7 - Mar 25 ,"Jiao,Feng",{}
CHEG851010,LEC,Applied Thermodynamics,NEWRK,2 Hrs,TR ,9:30AM - 10:45AM ,Apr 4 - May 20 ,"Lobo,Raul F",{}
CHEG860010,LEC,Process Systems Engineering: Mathematical Modeling and Optimization Principles,NEWRK,2 Hrs,MW ,5:00PM - 6:15PM ,Feb 7 - Mar 25 ,"Ierapetritou,Marianthi",{'required': {'CHEG802': 'false'}}
CHEG861010,LEC,Data Science for Chemical and Biomolecular Engineering,NEWRK,2 Hrs,MW ,5:00PM - 6:15PM ,Apr 4 - May 20 ,Staff,"{'required': {'CHEG807': 'false', 'CHEG802': 'false'}}"
CHEG866000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG867010,LEC,SEMINAR: ADVANCED METABOLIC ENGINEERING,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Kunjapur,Aditya",{}
CHEG867011,LEC,SEMINAR,NEWRK,3 Hrs,F,9:00AM - 11:00AM,Feb 7 - May 17,"Fromen,Catherine Ann",{}
CHEG867014,LEC,SEMINAR: ADV BIOCHEMICAL ENGINEERING,NEWRK,3 Hrs,TR,3:30PM - 4:45PM,Feb 7 - May 17,"Papoutsakis,Eleftherios",{}
CHEG867015,LEC,SEMINAR: COMP & DATA SCI FOR SOFT MAT,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Feb 7 - May 17,"Jayaraman,Arthi",{}
CHEG868000,RSC,Research,NEWRK,1-9 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG869000,IND,Master's Thesis,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG964000,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEM100070,LEC,Chemistry and Human Environment,NEWRK,3 Hrs,,Canceled,,,{}
CHEM100071,LEC,Chemistry and Human Environment,NEWRK,3 Hrs,,Canceled,,,{}
CHEM101010,LEC,General Chemistry,NEWRK,3 Hrs,MW,8:40AM - 9:55AM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM101070,LEC,General Chemistry,NEWRK,3 Hrs,TBD,,Feb 7 - May 17,"Toole,Ruth A",{}
CHEM101071,LEC,General Chemistry,NEWRK,3 Hrs,TBD,,Feb 7 - May 17,"Toole,Ruth A",{}
